Using device: cuda
GPU: NVIDIA L4
Memory: 23.7 GB
Model parameters: 1,848,333
Resuming from /home/trainer/checkpoints/checkpoint_epoch_027000.pt
Resumed at epoch 27000, loss=0.021644, energy=2.702607

============================================================
Starting training: epochs 27001 to 50000
Collocation points: 16,000
Checkpoint interval: 1000
============================================================

Epoch  37800 | Loss: 0.011562 | Physics: 0.010210 | Curl: 0.013528 | Energy: 2.685546 | Time: 0.93s | Elapsed: 2.81h
Epoch  37900 | Loss: 0.008626 | Physics: 0.007286 | Curl: 0.013400 | Energy: 2.685367 | Time: 0.94s | Elapsed: 2.84h
Epoch  38000 | Loss: 0.016742 | Physics: 0.015422 | Curl: 0.013198 | Energy: 2.685240 | Time: 0.94s | Elapsed: 2.87h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_038000.pt
Epoch  38100 | Loss: 0.013644 | Physics: 0.012341 | Curl: 0.013026 | Energy: 2.685064 | Time: 0.94s | Elapsed: 2.89h
Epoch  38200 | Loss: 0.019529 | Physics: 0.018255 | Curl: 0.012746 | Energy: 2.684883 | Time: 0.94s | Elapsed: 2.92h
Epoch  38300 | Loss: 0.018244 | Physics: 0.016980 | Curl: 0.012639 | Energy: 2.684764 | Time: 0.94s | Elapsed: 2.94h
Epoch  38400 | Loss: 0.016424 | Physics: 0.015160 | Curl: 0.012646 | Energy: 2.684631 | Time: 0.94s | Elapsed: 2.97h
Epoch  38500 | Loss: 0.016762 | Physics: 0.015502 | Curl: 0.012606 | Energy: 2.684496 | Time: 0.93s | Elapsed: 3.00h
Epoch  38600 | Loss: 0.015973 | Physics: 0.014720 | Curl: 0.012538 | Energy: 2.684364 | Time: 0.94s | Elapsed: 3.02h
Epoch  38700 | Loss: 0.016317 | Physics: 0.015061 | Curl: 0.012557 | Energy: 2.684222 | Time: 0.93s | Elapsed: 3.05h
Epoch  38800 | Loss: 0.016867 | Physics: 0.015575 | Curl: 0.012919 | Energy: 2.684073 | Time: 0.94s | Elapsed: 3.07h
Epoch  38900 | Loss: 0.014459 | Physics: 0.013189 | Curl: 0.012701 | Energy: 2.683906 | Time: 0.95s | Elapsed: 3.10h
Epoch  39000 | Loss: 0.026879 | Physics: 0.025591 | Curl: 0.012880 | Energy: 2.683785 | Time: 0.94s | Elapsed: 3.13h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_039000.pt
Epoch  39100 | Loss: 0.021983 | Physics: 0.020710 | Curl: 0.012732 | Energy: 2.683672 | Time: 0.94s | Elapsed: 3.15h
Epoch  39200 | Loss: 0.020055 | Physics: 0.018771 | Curl: 0.012839 | Energy: 2.683548 | Time: 0.94s | Elapsed: 3.18h
Epoch  39300 | Loss: 0.019442 | Physics: 0.018174 | Curl: 0.012684 | Energy: 2.683419 | Time: 0.93s | Elapsed: 3.20h
Epoch  39400 | Loss: 0.018590 | Physics: 0.017325 | Curl: 0.012646 | Energy: 2.683284 | Time: 0.94s | Elapsed: 3.23h
Epoch  39500 | Loss: 0.017119 | Physics: 0.015841 | Curl: 0.012780 | Energy: 2.683146 | Time: 0.93s | Elapsed: 3.26h
Epoch  39600 | Loss: 0.015429 | Physics: 0.014160 | Curl: 0.012696 | Energy: 2.682994 | Time: 0.94s | Elapsed: 3.28h
Epoch  39700 | Loss: 0.012819 | Physics: 0.011552 | Curl: 0.012671 | Energy: 2.682832 | Time: 0.93s | Elapsed: 3.31h
Epoch  39800 | Loss: 0.021704 | Physics: 0.020450 | Curl: 0.012542 | Energy: 2.682680 | Time: 0.95s | Elapsed: 3.34h
Epoch  39900 | Loss: 0.018315 | Physics: 0.017070 | Curl: 0.012457 | Energy: 2.682563 | Time: 0.93s | Elapsed: 3.36h
Epoch  40000 | Loss: 0.016934 | Physics: 0.015701 | Curl: 0.012333 | Energy: 2.682435 | Time: 0.93s | Elapsed: 3.39h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_040000.pt
Epoch  40100 | Loss: 0.016739 | Physics: 0.015510 | Curl: 0.012289 | Energy: 2.682308 | Time: 0.93s | Elapsed: 3.41h
Epoch  40200 | Loss: 0.015511 | Physics: 0.014278 | Curl: 0.012332 | Energy: 2.682174 | Time: 0.93s | Elapsed: 3.44h
Epoch  40300 | Loss: 0.012447 | Physics: 0.011173 | Curl: 0.012738 | Energy: 2.682027 | Time: 0.94s | Elapsed: 3.47h
Epoch  40400 | Loss: 0.012782 | Physics: 0.011510 | Curl: 0.012728 | Energy: 2.681868 | Time: 0.93s | Elapsed: 3.49h
Epoch  40500 | Loss: 0.027500 | Physics: 0.026263 | Curl: 0.012375 | Energy: 2.681676 | Time: 0.93s | Elapsed: 3.52h
Epoch  40600 | Loss: 0.019485 | Physics: 0.018270 | Curl: 0.012156 | Energy: 2.681610 | Time: 0.94s | Elapsed: 3.54h
Epoch  40700 | Loss: 0.021049 | Physics: 0.019825 | Curl: 0.012240 | Energy: 2.681491 | Time: 0.93s | Elapsed: 3.57h
Epoch  40800 | Loss: 0.017039 | Physics: 0.015815 | Curl: 0.012242 | Energy: 2.681360 | Time: 0.93s | Elapsed: 3.60h
Epoch  40900 | Loss: 0.017488 | Physics: 0.016262 | Curl: 0.012258 | Energy: 2.681232 | Time: 0.95s | Elapsed: 3.62h
Epoch  41000 | Loss: 0.017462 | Physics: 0.016249 | Curl: 0.012129 | Energy: 2.681099 | Time: 0.93s | Elapsed: 3.65h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_041000.pt
Epoch  41100 | Loss: 0.015764 | Physics: 0.014508 | Curl: 0.012553 | Energy: 2.680951 | Time: 0.94s | Elapsed: 3.67h
Epoch  41200 | Loss: 0.012070 | Physics: 0.010808 | Curl: 0.012617 | Energy: 2.680799 | Time: 0.95s | Elapsed: 3.70h
Epoch  41300 | Loss: 0.012783 | Physics: 0.011524 | Curl: 0.012588 | Energy: 2.680645 | Time: 0.95s | Elapsed: 3.73h
Epoch  41400 | Loss: 0.008512 | Physics: 0.007293 | Curl: 0.012187 | Energy: 2.680490 | Time: 0.93s | Elapsed: 3.75h
Epoch  41500 | Loss: 0.018216 | Physics: 0.017022 | Curl: 0.011938 | Energy: 2.680390 | Time: 0.94s | Elapsed: 3.78h
Epoch  41600 | Loss: 0.016944 | Physics: 0.015739 | Curl: 0.012049 | Energy: 2.680282 | Time: 0.94s | Elapsed: 3.80h
Epoch  41700 | Loss: 0.016840 | Physics: 0.015635 | Curl: 0.012053 | Energy: 2.680165 | Time: 0.93s | Elapsed: 3.83h
Epoch  41800 | Loss: 0.016625 | Physics: 0.015433 | Curl: 0.011920 | Energy: 2.680045 | Time: 0.93s | Elapsed: 3.86h
Epoch  41900 | Loss: 0.014020 | Physics: 0.012838 | Curl: 0.011816 | Energy: 2.679918 | Time: 0.95s | Elapsed: 3.88h
Epoch  42000 | Loss: 0.015624 | Physics: 0.014400 | Curl: 0.012242 | Energy: 2.679786 | Time: 0.93s | Elapsed: 3.91h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_042000.pt
Epoch  42100 | Loss: 0.011872 | Physics: 0.010638 | Curl: 0.012342 | Energy: 2.679650 | Time: 0.93s | Elapsed: 3.93h
Epoch  42200 | Loss: 0.011081 | Physics: 0.009883 | Curl: 0.011989 | Energy: 2.679521 | Time: 0.94s | Elapsed: 3.96h
Epoch  42300 | Loss: 0.025536 | Physics: 0.024374 | Curl: 0.011621 | Energy: 2.679391 | Time: 0.94s | Elapsed: 3.99h
Epoch  42400 | Loss: 0.011875 | Physics: 0.010674 | Curl: 0.012010 | Energy: 2.679253 | Time: 0.93s | Elapsed: 4.01h
Epoch  42500 | Loss: 0.010179 | Physics: 0.009029 | Curl: 0.011499 | Energy: 2.679139 | Time: 0.93s | Elapsed: 4.04h
Epoch  42600 | Loss: 0.028321 | Physics: 0.027153 | Curl: 0.011684 | Energy: 2.679073 | Time: 0.94s | Elapsed: 4.07h
Epoch  42700 | Loss: 0.021901 | Physics: 0.020751 | Curl: 0.011506 | Energy: 2.678952 | Time: 0.94s | Elapsed: 4.09h
Epoch  42800 | Loss: 0.021568 | Physics: 0.020402 | Curl: 0.011654 | Energy: 2.678820 | Time: 0.94s | Elapsed: 4.12h
Epoch  42900 | Loss: 0.018768 | Physics: 0.017623 | Curl: 0.011456 | Energy: 2.678684 | Time: 0.94s | Elapsed: 4.14h
Epoch  43000 | Loss: 0.020948 | Physics: 0.019798 | Curl: 0.011499 | Energy: 2.678551 | Time: 0.94s | Elapsed: 4.17h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_043000.pt
Epoch  43100 | Loss: 0.016481 | Physics: 0.015320 | Curl: 0.011610 | Energy: 2.678416 | Time: 0.93s | Elapsed: 4.20h
Epoch  43200 | Loss: 0.018163 | Physics: 0.017011 | Curl: 0.011522 | Energy: 2.678285 | Time: 0.94s | Elapsed: 4.22h
Epoch  43300 | Loss: 0.017355 | Physics: 0.016223 | Curl: 0.011322 | Energy: 2.678151 | Time: 0.93s | Elapsed: 4.25h
Epoch  43400 | Loss: 0.015007 | Physics: 0.013856 | Curl: 0.011505 | Energy: 2.678011 | Time: 0.94s | Elapsed: 4.27h
Epoch  43500 | Loss: 0.012406 | Physics: 0.011232 | Curl: 0.011736 | Energy: 2.677866 | Time: 0.94s | Elapsed: 4.30h
Epoch  43600 | Loss: 0.008477 | Physics: 0.007329 | Curl: 0.011478 | Energy: 2.677716 | Time: 0.94s | Elapsed: 4.33h
Epoch  43700 | Loss: 0.014745 | Physics: 0.013616 | Curl: 0.011287 | Energy: 2.677546 | Time: 0.95s | Elapsed: 4.35h
Epoch  43800 | Loss: 0.012343 | Physics: 0.011217 | Curl: 0.011254 | Energy: 2.677412 | Time: 0.93s | Elapsed: 4.38h
Epoch  43900 | Loss: 0.039094 | Physics: 0.037850 | Curl: 0.012443 | Energy: 2.677309 | Time: 0.94s | Elapsed: 4.40h
Epoch  44000 | Loss: 0.013171 | Physics: 0.012012 | Curl: 0.011594 | Energy: 2.677176 | Time: 0.94s | Elapsed: 4.43h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_044000.pt
Epoch  44100 | Loss: 0.014242 | Physics: 0.013174 | Curl: 0.010684 | Energy: 2.677067 | Time: 0.94s | Elapsed: 4.46h
Epoch  44200 | Loss: 0.013856 | Physics: 0.012776 | Curl: 0.010797 | Energy: 2.676944 | Time: 0.94s | Elapsed: 4.48h
Epoch  44300 | Loss: 0.013757 | Physics: 0.012672 | Curl: 0.010850 | Energy: 2.676813 | Time: 0.94s | Elapsed: 4.51h
